smiles,conductivity,temperature
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-7.338208,-19.565217
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-6.634369,-10.0
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-6.058501,-0.434783
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-5.687386,9.782609
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-5.252285,19.782609
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-5.09872,24.565217
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-4.906764,30.217391
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-4.586837,40.217391
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-4.318099,49.782609
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-3.972578,60.0
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-3.74223,70.217391
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-3.588665,78.695652
CCC(CC(CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC.[Li+],-3.345521,95.0
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-4.102729,80.67286142
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-4.173355,70.71157233
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-4.321027,60.54583825
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-4.487961,50.38716714
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-4.674157,40.34760817
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-4.930979,30.51754477
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-5.046549,25.09456233
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-5.867647,79.79968879
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-5.97549,70.46108448
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-6.107843,59.47749778
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-6.264706,49.6872487
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-6.431373,39.73142201
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-6.705882,30.31462528
CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)O[B-](C)(OC)OC.[Li+],-6.848039,24.6910988
CCCOCCOCCOCCOCCOCCOCCOC(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1.[Li+],-3.747573,93.033333
CCCOCCOCCOCCOCCOCCOCCOC(CC)c1ccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)cc1.[Li+],-7.224919,23.966667
